,Unnamed: 0,user_id,ISBN,rating,title,author,year,publisher,imgs,imgm,imgl,number of ratings
0,0,277427,002542730X,10,Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley & Sons Inc,http://images.amazon.com/images/P/002542730X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/002542730X.01.LZZZZZZZ.jpg,82
1,242,277427,60930535,0,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial,http://images.amazon.com/images/P/0060930535.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg,133
2,388,277427,60934417,0,Bel Canto: A Novel,Ann Patchett,2002,Perennial,http://images.amazon.com/images/P/0060934417.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.LZZZZZZZ.jpg,108
4,679,277427,006440188X,0,The Secret Garden,Frances Hodgson Burnett,1998,HarperTrophy,http://images.amazon.com/images/P/006440188X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006440188X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006440188X.01.LZZZZZZZ.jpg,79
5,762,277427,140067477,0,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,http://images.amazon.com/images/P/0140067477.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg,77
6,877,277427,014029628X,0,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books,http://images.amazon.com/images/P/014029628X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014029628X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014029628X.01.LZZZZZZZ.jpg,91
7,975,277427,014100018X,0,Chocolat,Joanne Harris,2000,Penguin Books,http://images.amazon.com/images/P/014100018X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014100018X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014100018X.01.LZZZZZZZ.jpg,103
8,1090,277427,142001740,0,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg,209
9,1418,277427,312966091,0,Three To Get Deadly ,Janet Evanovich,1998,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312966091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312966091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312966091.01.LZZZZZZZ.jpg,105
10,1523,277427,031298328X,0,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/031298328X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/031298328X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/031298328X.01.LZZZZZZZ.jpg,79
11,1630,277427,316096199,0,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,http://images.amazon.com/images/P/0316096199.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316096199.01.LZZZZZZZ.jpg,115
12,1745,277427,316168688,0,The Dogs of Babel ,Carolyn Parkhurst,2003,"Little, Brown",http://images.amazon.com/images/P/0316168688.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316168688.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316168688.01.LZZZZZZZ.jpg,55
13,1800,277427,316284955,0,White Oleander : A Novel,Janet Fitch,2000,Back Bay Books,http://images.amazon.com/images/P/0316284955.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316284955.01.LZZZZZZZ.jpg,114
14,1914,277427,316569321,0,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown",http://images.amazon.com/images/P/0316569321.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316569321.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316569321.01.LZZZZZZZ.jpg,116
15,2030,277427,316602051,0,The Jester,James Patterson,2003,"Little, Brown",http://images.amazon.com/images/P/0316602051.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316602051.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316602051.01.LZZZZZZZ.jpg,68
16,2098,277427,316666343,0,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg,270
17,2368,277427,316776963,8,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg,146
